Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Bhagat Halwai,"Mithai, North Indian, Momos, Chinese, Street Food, Pizza, Fast Food",3,₹400 for two,7 km,"Sikandra, Agra",Agra
Haldiram Food Court,North Indian,3.7,₹200 for two,3.1 km,"Civil Lines, Agra",Agra
Nazeer Foods,"North Indian, Fast Food, Biryani",3,₹500 for two,2.8 km,"Civil Lines, Agra",Agra
Pizza Delight Cafe And Restaurant,"Pizza, Fast Food",3.6,₹250 for two,6.3 km,"Trans Yamuna, Agra",Agra
Red Chilli Cafe & Restaurant,"North Indian, Chinese, Street Food, Mughlai, South Indian, Fast Food, Beverages, Desserts",3.5,"₹1,400 for two",2.4 km,"Agra Cantt, Agra",Agra
Maple Restaurant,"North Indian, Chinese, Rolls, Fast Food",3.5,₹500 for two,4 km,"Tajganj, Agra",Agra
Aleem Restaurant,North Indian,-,₹350 for two,2.7 km,"Civil Lines, Agra",Agra
The Restaurant - Trident Hotel,"North Indian, Chinese, Continental",4.2,"₹2,000 for two",4.3 km,"Trident Hotel, Tajganj, Agra",Agra
Welcome Yadav Dhaba,North Indian,3.9,₹300 for two,3.3 km,"Lohamandi, Agra",Agra
Cakery N Bakery,"Bakery, Desserts, Coffee, Sandwich, Fast Food, Burger",3.6,₹500 for two,4 km,"Tajganj, Agra",Agra
Peppers Cafe & Kitchen,"Italian, Chinese, North Indian, Desserts, Shake",-,"₹1,000 for two",7.1 km,"Sikandra, Agra",Agra
Chainess,"Street Food, Sandwich, Fast Food, Tea, Beverages",4.4,₹300 for two,2.8 km,"Civil Lines, Agra",Agra
Gymlicious,"North Indian, Chinese, Fast Food, American, Beverages, Healthy Food",3.3,₹250 for two,4 km,"Khandari, Agra",Agra
Agra Chat Cafe,Street Food,3.7,₹100 for two,2.7 km,"Tajganj, Agra",Agra
Hotel Amar - Noorjahan Restaurant,"Bar Food, Chinese, Continental, South Indian, Fast Food, North Indian, Desserts, Beverages",3.9,₹900 for two,2.5 km,"Hotel Amar, Tajganj, Agra",Agra
The Burger Company,"Burger, Fast Food, Momos, Pizza, Sandwich, Desserts, Beverages, Shake",3.4,₹500 for two,3.7 km,"Khandari, Agra",Agra
Shree Bankey Bihari Misthan Bhandar,"Mithai, Street Food, South Indian, Chinese, Ice Cream, Desserts, Beverages",3.6,₹400 for two,3.6 km,"Trans Yamuna, Agra",Agra
Shree Bankey Bihari Misthan Bhandar,"Mithai, Street Food",3.7,₹300 for two,3.9 km,"Kamla Nagar, Agra",Agra
Brijbhog Misthan Bhandar & Restaurant,Mithai,-,₹200 for two,5.9 km,"Sikandra, Agra",Agra
Urban Dhaba Sethi Wala,"North Indian, Fast Food, Burger, Shake, Beverages",3.5,₹250 for two,4.9 km,"Tajganj, Agra",Agra
Sri Dauji Mishthan Bhandar,"Mithai, North Indian",3.3,₹350 for two,2.4 km,"Civil Lines, Agra",Agra
Pandit Dhaba,North Indian,3.4,₹300 for two,4.6 km,"Dayal Bagh, Agra",Agra
Hyderabadi Dum Biryani Point,"Biryani, Chinese",3.5,₹400 for two,4.4 km,"Arjun Nagar, Agra",Agra
Pizza House Family Restaurant,"South Indian, North Indian, Fast Food, Chinese, Pizza, Beverages",3,₹400 for two,5.5 km,"Agra Cantt, Agra",Agra
Udupi Brindavan,"South Indian, North Indian",3.4,₹600 for two,2.7 km,"Tajganj, Agra",Agra
Social Attitude,"North Indian, Fast Food, Healthy Food",3.9,₹400 for two,3.3 km,"Lohamandi, Agra",Agra
Red Grill,"North Indian, Chinese, Mughlai",3.4,₹400 for two,5.5 km,"Dayal Bagh, Agra",Agra
Rockstar Cafe,"Chinese, North Indian, Fast Food, Desserts, Beverages",3.2,₹400 for two,6.3 km,"Kuberpur, Agra",Agra
3C's Cafe,"Fast Food, Beverages, Shake, Burger, Momos, Coffee, Cafe",4.3,₹700 for two,2.7 km,"Civil Lines, Agra",Agra
Cake & More,"Bakery, Fast Food, Ice Cream, Desserts, Beverages",3.5,₹300 for two,2.5 km,"Tajganj, Agra",Agra
Taj Mahal Restaurant,"North Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.2,"₹1,000 for two",3.4 km,"Tajganj, Agra",Agra
Lobby Bar - Holiday Inn,Bar Food,3.9,"₹2,400 for two",2.6 km,"Civil Lines, Agra",Agra
Skydeck - The Gateway Hotel,"North Indian, Chinese, Continental",3.7,"₹5,500 for two",3.1 km,"The Gateway Hotel, Tajganj, Agra",Agra
Pizza In Pizza,"Pizza, Fast Food",-,₹400 for two,8.3 km,"Gopal Pura, Agra",Agra
Churros,"Cafe, Coffee, Bubble Tea, Fast Food, Waffle",New,₹350 for two,3.8 km,"Kamla Nagar, Agra",Agra
Chaska Restaurant,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Pizza, Beverages, Fast Food",3.6,"₹1,000 for two",3.8 km,"Kamla Nagar, Agra",Agra
Agarwal Food Court,"South Indian, Chinese, Fast Food, Street Food, Beverages, North Indian",4,₹600 for two,2.5 km,"Agra Cantt, Agra",Agra
Anise,"North Indian, Kebab, Biryani, Desserts",4.5,"₹2,000 for two",4.8 km,"Tajganj, Agra",Agra
The Royal Dining Restaurant,"North Indian, Chinese, Continental, South Indian, Oriental, Desserts, Beverages, Italian",4.6,"₹1,000 for two",4 km,"Tajganj, Agra",Agra
Tareef Restaurant,North Indian,3.1,₹350 for two,1.8 km,"Mantola, Agra",Agra
Chia Taj View Cafe,"Coffee, Fast Food",-,₹500 for two,2.6 km,"Tajganj, Agra",Agra
2ND Wife,"North Indian, Fast Food, Beverages, Shake",3.2,₹250 for two,1.7 km,"Agra Cantt, Agra",Agra
Atlantic Foods,"Bakery, Desserts, Fast Food, Beverages",4.1,₹400 for two,2.7 km,"Civil Lines, Agra",Agra
Public Restaurant,"North Indian, Mughlai",3.4,₹800 for two,4.3 km,"Tajganj, Agra",Agra
Hotel Solitaire,"North Indian, South Indian, Chinese, Desserts, Fast Food",4.1,₹600 for two,2.5 km,"Civil Lines, Agra",Agra
Rambabu Ke Parathe,North Indian,3.9,₹300 for two,6.4 km,"Tajganj, Agra",Agra
Thor The Party World,"North Indian, Continental, Mughlai",-,"₹1,500 for two",5.9 km,"Tajganj, Agra",Agra
Deviram Food Circle,"Mithai, Chinese, South Indian, Street Food, Fast Food",3,₹450 for two,4.2 km,"Dayal Bagh, Agra",Agra
Tea'se Coffee - The Tamala Tree,"North Indian, Chinese, Sushi, Salad",-,"₹1,500 for two",4.6 km,"Tajganj, Agra",Agra
