Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
D'zurt Cafe,"Cafe, Fast Food, Burger, Sandwich, Wraps, Momos, Desserts, Street Food",4.1,400.0,3.8,"Kamla Nagar, Agra",Agra
Sattolala Food Court,"North Indian, Mithai, Fast Food",3.5,150.0,3.4,"Shahganj, Agra",Agra
Tipsy Grill,"Burger, Fast Food, Desserts, Waffle, Beverages",3.2,200.0,4.4,"Khandari, Agra",Agra
Dev Sagar Hotel And Restaurant,"North Indian, Chinese, Pizza, Fast Food",3.374251,150.0,8.4,"Sikandra, Agra",Agra
Shri Tirupati No.1 Family Restaurant,"North Indian, South Indian, Fast Food",4.0,150.0,5.6,"Sikandra, Agra",Agra
Veer Ji Malai Chaap Wale,"Chinese, North Indian, Fast Food, Momos, Rolls, Biryani",3.5,250.0,6.6,"Sikandra, Agra",Agra
MCD Non Veg King,"North Indian, Chinese, Rolls",3.374251,225.0,3.5,"Tajganj, Agra",Agra
Hari Chatni Restaurant,"Chinese, Wraps, Fast Food, North Indian, Mughlai, Biryani",3.9,300.0,3.3,"Civil Lines, Agra",Agra
Al Baik,"Fast Food, Burger, Pizza, Sandwich",3.374251,200.0,3.8,"Arjun Nagar, Agra",Agra
Biryani & Kebab by Zahid Foods,"North Indian, Biryani, Lebanese, Mughlai, Chinese, Desserts",3.374251,500.0,3.5,"Tajganj, Agra",Agra
Goli Vada Pav No. 1,Street Food,4.0,50.0,7.0,"Sikandra, Agra",Agra
Jain Restaurant,"North Indian, South Indian",4.2,250.0,3.3,"Shahganj, Agra",Agra
Mansion- Tapas & CL Club,"North Indian, Asian, Italian, Chinese, Sushi, Biryani, Desserts, Beverages",3.9,1750.0,1.8,"Rakabganj, Agra",Agra
Bapu Dhaba,North Indian,3.2,200.0,4.1,"Kuberpur, Agra",Agra
Spicy Cottage Cafe & Restaurant,"South Indian, Pizza, Sandwich, Fast Food, Shake, Chinese, Beverages",3.374251,150.0,7.9,"Sikandra, Agra",Agra
